0,1,318.93,69.95,192.51,160.71,1,-1,-1,-1
1,1,317.38,68.31,192.76,162.71,1,-1,-1,-1
2,1,321.57,70.08,187.92,159.39,1,-1,-1,-1
3,1,319.26,68.56,183.10,156.39,1,-1,-1,-1
4,1,317.04,67.49,185.57,157.96,1,-1,-1,-1
5,1,316.60,69.84,181.80,155.05,1,-1,-1,-1
6,1,317.36,71.01,183.65,154.65,1,-1,-1,-1
7,2,149.53,4.74,146.84,98.88,1,-1,-1,-1
7,1,317.99,70.97,185.15,155.23,1,-1,-1,-1
8,2,151.66,5.24,158.24,114.50,1,-1,-1,-1
8,1,315.65,71.48,188.92,156.78,1,-1,-1,-1
9,2,151.97,5.16,165.76,126.18,1,-1,-1,-1
9,1,313.91,70.41,192.64,158.71,1,-1,-1,-1
10,2,155.88,4.61,166.27,133.08,1,-1,-1,-1
10,1,313.48,69.99,193.24,158.96,1,-1,-1,-1
11,2,161.04,5.63,164.34,140.26,1,-1,-1,-1
11,1,314.32,69.53,193.56,160.78,1,-1,-1,-1
12,2,165.65,4.59,159.82,143.98,1,-1,-1,-1
12,1,315.18,70.02,191.67,160.53,1,-1,-1,-1
13,2,169.64,3.58,156.53,147.07,1,-1,-1,-1
13,1,315.65,70.81,190.45,160.31,1,-1,-1,-1
14,2,170.68,2.75,154.26,149.74,1,-1,-1,-1
14,1,315.44,69.43,190.41,160.60,1,-1,-1,-1
15,2,171.43,2.59,155.12,153.80,1,-1,-1,-1
15,1,316.95,68.93,190.08,160.89,1,-1,-1,-1
16,2,170.68,1.83,155.01,156.40,1,-1,-1,-1
16,1,316.56,69.56,187.75,159.61,1,-1,-1,-1
17,2,170.51,0.79,155.74,157.99,1,-1,-1,-1
17,1,317.30,69.92,185.23,157.93,1,-1,-1,-1
18,2,170.87,-0.05,155.69,158.61,1,-1,-1,-1
18,1,317.50,69.45,184.18,157.34,1,-1,-1,-1
19,2,169.96,-0.06,156.82,160.01,1,-1,-1,-1
19,1,318.78,69.79,182.87,156.54,1,-1,-1,-1
20,2,169.08,-0.29,158.45,161.13,1,-1,-1,-1
20,1,320.50,70.86,184.03,157.16,1,-1,-1,-1
21,2,171.25,-0.32,157.82,161.91,1,-1,-1,-1
21,1,319.94,72.08,184.46,157.07,1,-1,-1,-1
22,2,172.50,-0.41,157.36,162.56,1,-1,-1,-1
22,1,322.72,72.45,182.93,157.23,1,-1,-1,-1
23,2,171.37,0.88,158.53,165.57,1,-1,-1,-1
